,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20170531,I888,431.0,461.0,461.5,430.0,2226242.0,0.0,0.0,-66.66666666666667,100.0,0.0
1,20170531,J888,1039.5,1159.0,1162.0,1039.0,184426.0,0.0,100.0,-66.66666666666711,100.0,0.0
2,20170531,RB888,2207.0,2362.0,2385.0,2201.0,6663064.0,0.0,0.0,-66.66666666666717,100.0,0.0
3,20170601,I888,426.5,431.5,434.0,421.5,2249808.0,-0.10096153846160405,0.0,-66.66666666666667,100.0,0.0
4,20170601,J888,1043.5,1039.0,1065.0,1028.0,157992.0,0.08974358974342067,100.0,-66.66666666666711,100.0,0.0
5,20170601,RB888,2204.0,2214.0,2239.0,2169.0,7377354.0,-0.0673076923080771,0.0,-66.66666666666717,100.0,0.0
6,20170602,I888,436.0,430.0,441.0,425.0,2719994.0,0.16594939201434045,68.59205776173285,-0.8196721311465203,6.3646170442286945,0.0
7,20170602,J888,1004.0,1046.5,1055.0,991.0,214868.0,-1.110541490193782,8.91621829362029,-94.05772495755534,100.0,0.0
8,20170602,RB888,2138.0,2210.0,2220.0,2133.0,9046274.0,-2.1324194104654453,0.0,-87.57763975155268,100.0,0.0
9,20170605,I888,441.5,433.5,449.5,429.0,3248512.0,0.4818541225068884,77.73758051707404,60.96866096866149,33.840814437760294,0.0
10,20170605,J888,1019.5,996.0,1036.5,992.5,178148.0,-1.0696165257475059,33.50297025871244,-67.38479952124476,100.0,0.0
11,20170605,RB888,2051.0,2122.0,2167.0,2050.0,7983244.0,-6.160514381202574,0.0,-112.6934984520123,100.0,0.0
12,20170606,I888,438.5,437.0,444.5,430.0,2834492.0,0.523990881404302,66.76736607457855,26.729559748429153,33.840814437760294,0.0
13,20170606,J888,1027.5,1018.0,1039.0,985.0,189214.0,-0.7065219805649576,41.87961562753873,-54.05134376253538,100.0,0.0
14,20170606,RB888,2071.0,2040.0,2085.0,2018.0,6740960.0,-7.423780574205011,11.870618175631066,-99.21600432549359,100.0,0.0
15,20170607,I888,439.0,437.5,444.0,433.5,2084592.0,0.5608517941239484,67.55673612149076,41.346153846154124,33.840814437760294,0.0
16,20170607,J888,1030.5,1016.0,1051.0,1016.0,133036.0,-0.3466908964983304,44.58750021258325,-7.798617966436745,58.42809752560808,0.0
17,20170607,RB888,2074.0,2071.0,2108.0,2047.0,6244994.0,-7.915350724471864,13.464593845662392,-64.92517006802733,74.38049345782987,0.0
18,20170608,I888,429.5,438.5,443.0,428.5,2845264.0,0.1444645708906478,46.0551351446661,-42.27053140096457,5.253867494055402,35.18894576592719
19,20170608,J888,1034.5,1023.5,1048.0,1018.0,138116.0,0.0712506536760884,47.933472065548564,-4.219231847491316,58.42809752560807,35.18894576592719
20,20170608,RB888,2080.0,2080.0,2137.0,2036.0,9025802.0,-7.8224501789400165,16.58601996803762,-50.865890828484595,48.705937964971724,35.18894576592719
21,20170609,I888,430.0,429.5,434.0,425.5,2071446.0,-0.11327873911255892,46.97401876165768,-89.23076923076923,7.427758244840267,1.4365557612904583
22,20170609,J888,1030.0,1038.0,1052.5,1025.0,125630.0,0.13632853918284127,44.786198320786085,5.319792044492449,45.47107505140019,1.4365557612904583
23,20170609,RB888,2129.0,2080.0,2133.0,2066.0,6275936.0,-5.303952287448283,36.068430034495485,-24.411833216864835,48.70593796497173,1.4365557612904583
24,20170612,I888,440.5,429.5,444.0,428.5,2503858.0,0.23090566997666429,61.296137229676994,36.89839572192589,24.83985900183276,29.18481924600663
25,20170612,J888,1066.0,1024.0,1076.0,1024.0,160140.0,1.965410495639162,64.22555183295191,78.58842188739028,0.12654125430142013,29.18481924600663
26,20170612,RB888,2145.0,2142.0,2163.0,2112.0,6298340.0,-2.6854197172883687,40.74348879842395,9.677419354838575,26.661444836778685,29.18481924600663
27,20170613,I888,425.0,441.0,442.0,424.5,2203790.0,-0.3266933926976776,43.396655266773095,-76.19047619047565,10.631240520337945,16.685451748061993
28,20170613,J888,1049.5,1063.5,1076.0,1048.0,128590.0,2.384413493066859,55.037969025307945,75.76369263894378,0.126541254301434,16.685451748061993
29,20170613,RB888,2047.0,2147.0,2157.0,2044.0,5864856.0,-5.836748874267869,27.842778414237358,-56.39986491050374,46.04241996947144,16.685451748061993
30,20170614,I888,438.5,423.5,438.5,419.0,2694020.0,-0.005821502198614326,55.18721917947311,-47.666666666666536,5.223703463027673,37.82187884085889
31,20170614,J888,1130.5,1053.0,1132.0,1023.0,295256.0,6.969073558556829,73.95724919947226,165.24300441826196,46.11683283031303,37.82187884085889
32,20170614,RB888,2196.0,2047.0,2198.0,2042.0,8388128.0,-0.09403356948178043,51.831311183181356,22.133451694037603,24.787770788908276,37.82187884085889
