,high,low,open,adjcp,volume,tic,datadate
0,461.5,430.0,461.0,431.0,2226242.0,I888,20170531
1,2385.0,2201.0,2362.0,2207.0,6663064.0,RB888,20170531
2,1162.0,1039.0,1159.0,1039.5,184426.0,J888,20170531
3,434.0,421.5,431.5,426.5,2249808.0,I888,20170601
4,2239.0,2169.0,2214.0,2204.0,7377354.0,RB888,20170601
5,1065.0,1028.0,1039.0,1043.5,157992.0,J888,20170601
6,441.0,425.0,430.0,436.0,2719994.0,I888,20170602
7,2220.0,2133.0,2210.0,2138.0,9046274.0,RB888,20170602
8,1055.0,991.0,1046.5,1004.0,214868.0,J888,20170602
9,449.5,429.0,433.5,441.5,3248512.0,I888,20170605
10,2167.0,2050.0,2122.0,2051.0,7983244.0,RB888,20170605
11,1036.5,992.5,996.0,1019.5,178148.0,J888,20170605
12,2085.0,2018.0,2040.0,2071.0,6740960.0,RB888,20170606
13,1039.0,985.0,1018.0,1027.5,189214.0,J888,20170606
14,444.5,430.0,437.0,438.5,2834492.0,I888,20170606
15,1051.0,1016.0,1016.0,1030.5,133036.0,J888,20170607
16,444.0,433.5,437.5,439.0,2084592.0,I888,20170607
17,2108.0,2047.0,2071.0,2074.0,6244994.0,RB888,20170607
18,1048.0,1018.0,1023.5,1034.5,138116.0,J888,20170608
19,443.0,428.5,438.5,429.5,2845264.0,I888,20170608
20,2137.0,2036.0,2080.0,2080.0,9025802.0,RB888,20170608
21,1052.5,1025.0,1038.0,1030.0,125630.0,J888,20170609
22,434.0,425.5,429.5,430.0,2071446.0,I888,20170609
23,2133.0,2066.0,2080.0,2129.0,6275936.0,RB888,20170609
24,1076.0,1024.0,1024.0,1066.0,160140.0,J888,20170612
25,2163.0,2112.0,2142.0,2145.0,6298340.0,RB888,20170612
26,444.0,428.5,429.5,440.5,2503858.0,I888,20170612
27,2157.0,2044.0,2147.0,2047.0,5864856.0,RB888,20170613
28,1076.0,1048.0,1063.5,1049.5,128590.0,J888,20170613
29,442.0,424.5,441.0,425.0,2203790.0,I888,20170613
30,2198.0,2042.0,2047.0,2196.0,8388128.0,RB888,20170614
31,1132.0,1023.0,1053.0,1130.5,295256.0,J888,20170614
32,438.5,419.0,423.5,438.5,2694020.0,I888,20170614
33,2236.0,2135.0,2192.0,2223.0,8854462.0,RB888,20170615
34,1139.0,1099.5,1122.0,1125.0,237828.0,J888,20170615
35,438.0,423.0,436.5,429.5,2641944.0,I888,20170615
36,1165.5,1111.0,1122.0,1154.0,211488.0,J888,20170616
37,442.5,428.5,431.5,433.0,2911200.0,I888,20170616
38,2268.0,2187.0,2217.0,2203.0,7986648.0,RB888,20170616
39,446.0,432.0,434.5,439.0,2370300.0,I888,20170619
40,2297.0,2205.0,2212.0,2252.0,7269176.0,RB888,20170619
41,1233.0,1146.0,1153.0,1205.5,276370.0,J888,20170619
42,444.0,434.5,439.0,437.0,2003558.0,I888,20170620
43,2262.0,2196.0,2256.0,2221.0,6469594.0,RB888,20170620
44,1230.5,1194.5,1212.5,1201.5,215918.0,J888,20170620
45,440.0,426.0,435.5,440.0,2135430.0,I888,20170621
46,2212.0,2146.0,2211.0,2181.0,6953398.0,RB888,20170621
47,1227.5,1190.5,1198.0,1218.5,239622.0,J888,20170621
48,2235.0,2142.0,2191.0,2143.0,8068116.0,RB888,20170622
49,1268.0,1216.0,1225.0,1234.5,256302.0,J888,20170622
50,445.0,431.5,441.5,432.0,2221854.0,I888,20170622
51,1259.0,1221.0,1234.0,1248.5,221078.0,J888,20170623
52,441.0,432.0,434.0,440.5,1695332.0,I888,20170623
53,2222.0,2146.0,2149.0,2216.0,6795422.0,RB888,20170623
54,1255.0,1230.0,1253.5,1247.0,180846.0,J888,20170626
55,441.0,434.0,440.5,439.5,1646854.0,I888,20170626
56,2261.0,2200.0,2217.0,2260.0,6297226.0,RB888,20170626
57,1293.0,1243.0,1250.0,1292.0,214230.0,J888,20170627
58,464.5,438.0,441.0,463.0,2833952.0,I888,20170627
59,2337.0,2244.0,2264.0,2336.0,6593804.0,RB888,20170627
60,467.0,460.0,463.5,464.0,2114730.0,I888,20170628
61,2403.0,2336.0,2338.0,2391.0,6083548.0,RB888,20170628
62,1314.5,1280.0,1293.0,1304.5,192848.0,J888,20170628
63,2442.0,2364.0,2400.0,2409.0,8409380.0,RB888,20170629
64,1400.5,1301.5,1301.5,1364.5,319236.0,J888,20170629
65,491.0,465.5,466.5,483.5,3448740.0,I888,20170629
66,2467.0,2385.0,2403.0,2459.0,7499712.0,RB888,20170630
67,1372.0,1334.5,1364.0,1365.0,185624.0,J888,20170630
68,483.0,471.5,481.5,480.0,2055140.0,I888,20170630
69,2527.0,2445.0,2453.0,2525.0,7327914.0,RB888,20170703
70,1409.0,1355.5,1363.0,1409.0,196812.0,J888,20170703
71,494.5,476.5,477.0,493.5,2282410.0,I888,20170703
72,2560.0,2453.0,2517.0,2472.0,7666870.0,RB888,20170704
73,499.5,468.5,495.5,471.5,2872450.0,I888,20170704
74,1423.5,1360.5,1403.0,1374.5,237170.0,J888,20170704
